127.0.0.1 - - [11/Nov/2020:14:47:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:47:38 +0900] "GET /Todo/ HTTP/1.1" 200 12712
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:47:38 +0900] "GET /Todo/resources/css/todo.css HTTP/1.1" 200 2234
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:47:38 +0900] "GET /Todo/resources/js/todo.js HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:47:56 +0900] "GET /Todo/ HTTP/1.1" 200 12712
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:47:56 +0900] "GET /Todo/resources/css/todo.css HTTP/1.1" 200 2234
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:47:56 +0900] "GET /Todo/resources/js/todo.js HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:47:59 +0900] "PUT /Todo/card-order HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:48:05 +0900] "GET /Todo/ HTTP/1.1" 200 12506
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:48:05 +0900] "GET /Todo/resources/css/todo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:48:06 +0900] "GET /Todo/resources/js/todo.js HTTP/1.1" 304 -
